excluir;unidade;ano;mes;grau;score;predicao_obito;saidas;obitos_esperados;obitos_ocorridos
11/2019;HRJP;2019;11;V;20 a 24;40;1;0,4;0
11/2019;HRJP;2019;11;VI;25 a 29;55;4;2,2;1
11/2019;HRJP;2019;11;VII;30 a 34;75;0;0,0;0
11/2019;HRJP;2019;11;VIII;> 34;85;2;1,7;0
11/2019;MOV;2019;11;I;0 a 4;4;0;0,0;0
11/2019;MOV;2019;11;II;5 a 9;8;0;0,0;0
11/2019;MOV;2019;11;III;10 a 14;15;0;0,0;0
11/2019;MOV;2019;11;IV;15 a 19;25;0;0,0;0
11/2019;MOV;2019;11;V;20 a 24;40;0;0,0;0
11/2019;MOV;2019;11;VI;25 a 29;55;0;0,0;0
11/2019;MOV;2019;11;VII;30 a 34;75;0;0,0;0
11/2019;MOV;2019;11;VIII;> 34;85;0;0,0;0
12/2019;HAC;2019;12;I;0 a 4;4;5;0,2;0
12/2019;HAC;2019;12;II;5 a 9;8;12;0,96;1
12/2019;HAC;2019;12;III;10 a 14;15;6;0,9;0
12/2019;HAC;2019;12;IV;15 a 19;25;2;0,5;0
12/2019;HAC;2019;12;V;20 a 24;40;4;1,6;1
12/2019;HAC;2019;12;VI;25 a 29;55;3;1,65;3
12/2019;HAC;2019;12;VII;30 a 34;75;0;0,0;0
12/2019;HAC;2019;12;VIII;> 34;85;0;0,0;0
12/2019;HEM;2019;12;I;0 a 4;4;1;0,04;0
12/2019;HEM;2019;12;II;5 a 9;8;2;0,16;0
12/2019;HEM;2019;12;III;10 a 14;15;5;0,75;1
12/2019;HEM;2019;12;IV;15 a 19;25;11;2,75;2
12/2019;HEM;2019;12;V;20 a 24;40;11;4,4;4
12/2019;HEM;2019;12;VI;25 a 29;55;11;6,05;5
12/2019;HEM;2019;12;VII;30 a 34;75;0;0,0;0
12/2019;HEM;2019;12;VIII;> 34;85;0;0,0;0
12/2019;HJK;2019;12;I;0 a 4;4;89;3,5999999999999996;5
12/2019;HJK;2019;12;II;5 a 9;8;195;15,64;20
12/2019;HJK;2019;12;III;10 a 14;15;230;34,65;12
12/2019;HJK;2019;12;IV;15 a 19;25;211;52,85;26
12/2019;HJK;2019;12;V;20 a 24;40;141;56,4;26
12/2019;HJK;2019;12;VI;25 a 29;55;66;36,349999999999994;25
12/2019;HJK;2019;12;VII;30 a 34;75;32;24,1;14
12/2019;HJK;2019;12;VIII;> 34;85;20;17,05;16
12/2019;HJXXIII;2019;12;I;0 a 4;4;19;0,76;0
12/2019;HJXXIII;2019;12;II;5 a 9;8;22;1,76;0
12/2019;HJXXIII;2019;12;III;10 a 14;15;30;4,5;1
12/2019;HJXXIII;2019;12;IV;15 a 19;25;16;4,0;2
12/2019;HJXXIII;2019;12;V;20 a 24;40;15;6,0;5
12/2019;HJXXIII;2019;12;VI;25 a 29;55;8;4,4;2
12/2019;HJXXIII;2019;12;VII;30 a 34;75;2;1,5;2
12/2019;HJXXIII;2019;12;VIII;> 34;85;0;0,0;0
12/2019;HRAD;2019;12;I;0 a 4;4;3;0,12;0
12/2019;HRAD;2019;12;II;5 a 9;8;7;0,5599999999999999;0
12/2019;HRAD;2019;12;III;10 a 14;15;16;2,4;2
12/2019;HRAD;2019;12;IV;15 a 19;25;13;3,25;2
12/2019;HRAD;2019;12;V;20 a 24;40;11;4,4;3
12/2019;HRAD;2019;12;VI;25 a 29;55;10;5,5;3
12/2019;HRAD;2019;12;VII;30 a 34;75;2;1,5;1
12/2019;HRAD;2019;12;VIII;> 34;85;0;0,0;0
12/2019;HRBJA;2019;12;I;0 a 4;4;0;0,0;0
12/2019;HRBJA;2019;12;II;5 a 9;8;0;0,0;0
12/2019;HRBJA;2019;12;III;10 a 14;15;0;0,0;0
12/2019;HRBJA;2019;12;IV;15 a 19;25;0;0,0;0
12/2019;HRBJA;2019;12;V;20 a 24;40;0;0,0;0
12/2019;HRBJA;2019;12;VI;25 a 29;55;0;0,0;0
12/2019;HRBJA;2019;12;VII;30 a 34;75;0;0,0;0
12/2019;HRBJA;2019;12;VIII;> 34;85;0;0,0;0
12/2019;HRJP;2019;12;I;0 a 4;4;0;0,0;0
12/2019;HRJP;2019;12;II;5 a 9;8;4;0,32;0
12/2019;HRJP;2019;12;III;10 a 14;15;14;2,1;4
12/2019;HRJP;2019;12;IV;15 a 19;25;10;2,5;2
12/2019;HRJP;2019;12;V;20 a 24;40;0;0,0;0
12/2019;HRJP;2019;12;VI;25 a 29;55;0;0,0;0
12/2019;HRJP;2019;12;VII;30 a 34;75;0;0,0;0
12/2019;HRJP;2019;12;VIII;> 34;85;1;0,85;0
12/2019;MOV;2019;12;I;0 a 4;4;0;0,0;0
12/2019;MOV;2019;12;II;5 a 9;8;0;0,0;0
12/2019;MOV;2019;12;III;10 a 14;15;0;0,0;0
